ExtensionSimpleMultimedia:identifier,ExtensionSimpleMultimedia:rightsHolder,ExtensionSimpleMultimedia:license,occurrenceID,type,identifier,rightsHolder,publisher,license,datasetID
"<a href=""https://resolver.libis.be/FL17306117/stream"" target=""_url_details"">https://resolver.libis.be/FL17306117/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000026,StillImage,"<a href=""https://resolver.libis.be/FL17306117/stream"" target=""_url_details"">https://resolver.libis.be/FL17306117/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
" <a href=""https://resolver.libis.be/FL17306118/stream"" target=""_url_details"">https://resolver.libis.be/FL17306118/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000026,StillImage," <a href=""https://resolver.libis.be/FL17306118/stream"" target=""_url_details"">https://resolver.libis.be/FL17306118/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
"<a href=""https://resolver.libis.be/FL17306129/stream"" target=""_url_details"">https://resolver.libis.be/FL17306129/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000027,StillImage,"<a href=""https://resolver.libis.be/FL17306129/stream"" target=""_url_details"">https://resolver.libis.be/FL17306129/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
" <a href=""https://resolver.libis.be/FL17306130/stream"" target=""_url_details"">https://resolver.libis.be/FL17306130/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000027,StillImage," <a href=""https://resolver.libis.be/FL17306130/stream"" target=""_url_details"">https://resolver.libis.be/FL17306130/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
"<a href=""https://resolver.libis.be/FL17306141/stream"" target=""_url_details"">https://resolver.libis.be/FL17306141/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000028,StillImage,"<a href=""https://resolver.libis.be/FL17306141/stream"" target=""_url_details"">https://resolver.libis.be/FL17306141/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
" <a href=""https://resolver.libis.be/FL17306142/stream"" target=""_url_details"">https://resolver.libis.be/FL17306142/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000028,StillImage," <a href=""https://resolver.libis.be/FL17306142/stream"" target=""_url_details"">https://resolver.libis.be/FL17306142/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
"<a href=""https://resolver.libis.be/FL17306153/stream"" target=""_url_details"">https://resolver.libis.be/FL17306153/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000029,StillImage,"<a href=""https://resolver.libis.be/FL17306153/stream"" target=""_url_details"">https://resolver.libis.be/FL17306153/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
" <a href=""https://resolver.libis.be/FL17306154/stream"" target=""_url_details"">https://resolver.libis.be/FL17306154/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000029,StillImage," <a href=""https://resolver.libis.be/FL17306154/stream"" target=""_url_details"">https://resolver.libis.be/FL17306154/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
"<a href=""https://resolver.libis.be/FL17306167/stream"" target=""_url_details"">https://resolver.libis.be/FL17306167/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000030,StillImage,"<a href=""https://resolver.libis.be/FL17306167/stream"" target=""_url_details"">https://resolver.libis.be/FL17306167/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
" <a href=""https://resolver.libis.be/FL17306168/stream"" target=""_url_details"">https://resolver.libis.be/FL17306168/stream</a>",KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,kul:col:MUD000030,StillImage," <a href=""https://resolver.libis.be/FL17306168/stream"" target=""_url_details"">https://resolver.libis.be/FL17306168/stream</a>",KU Leuven. Imaging Lab,KU Leuven. Imaging Lab,https://creativecommons.org/licenses/by-nc-sa/4.0/deed.en,doi dataset
